"SQGDP2 Gross domestic product (GDP) by state 1/"
"Gross domestic product (GDP) by state: All industry total (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3"
"12000","Florida",679535.2,688958.5,708198.9,712347.7,732154.4,739589.5,746518.2,760380.4,760675.0,765956.6,774925.8,772715.1,759911.5,756619.7,750883.9,736476.2,730023.6,722476.5,720097.3,730035.0,726283.6,735796.0,743402.8,747487.0,738283.9,748069.4,746894.6,752893.3,761133.8,764141.0,773793.9,775822.9,789615.3,793146.5,804453.2,816328.8,817573.9,833227.4,848163.1,862581.4,876348.1,892828.1,905127.1,916715.5,919763.4,935485.0,950093.7,960902.7,973463.4,981990.2,993284.5,1011648.1,1031705.0,1042872.5,1058373.3,1068242.7,1087640.8,1098679.2,1113170.0,1126510.3,1121367.0,1026676.3,1111613.8
"13000","Georgia",381468.3,384212.1,387649.0,394670.2,396250.1,399879.9,404251.0,409623.3,407153.2,412678.8,418103.2,421183.2,411808.2,413918.9,414779.0,406900.5,405323.9,405480.2,405528.3,407932.9,408664.9,411623.9,416220.1,422147.1,422850.3,425029.0,429775.0,433653.1,438103.7,442679.2,446081.5,447399.9,455088.6,455886.4,460015.7,467324.2,472618.1,482312.0,490432.1,495767.9,505393.2,514250.3,519703.4,523665.2,533374.0,538190.6,542986.7,550617.4,559569.3,562017.4,569747.3,582261.6,589467.0,598940.6,607510.7,612177.4,616436.6,622814.4,629465.7,634137.5,631345.6,580731.7,627666.8
"15000","Hawaii",57270.6,58098.5,59007.2,60258.5,61015.5,61951.8,62930.5,63501.9,63857.1,64457.6,65915.8,66664.6,66780.2,67309.3,66902.7,66438.8,66010.8,65653.8,65299.7,65880.8,66825.6,67600.5,68941.6,69673.0,69791.5,70123.4,70605.7,71999.9,72625.0,73701.8,74222.8,74157.2,75490.3,75208.2,75885.9,76646.8,76216.2,77273.8,78504.1,79283.2,81378.8,82229.9,83050.4,83916.9,84712.1,85507.7,86120.9,87258.7,88647.3,89190.0,89941.5,90695.6,91895.3,93265.4,93158.0,94083.2,94840.1,95110.9,96025.2,97001.1,95364.3,83429.0,89865.6
"16000","Idaho",46811.0,47564.3,48645.2,48811.9,50303.5,51086.0,50744.3,51808.1,52809.1,53373.1,54079.6,55197.9,55019.4,56048.3,56205.8,55064.0,54294.8,53191.9,53653.1,53915.8,54717.6,54744.8,55405.0,55993.8,55807.6,56344.9,56689.1,57224.0,57091.7,57620.8,58245.6,58162.3,59939.9,60841.9,61516.4,62322.5,62319.4,63415.0,64263.1,65200.2,65882.9,65837.0,66389.1,66218.8,67596.2,68770.5,69785.9,70149.4,71287.7,72906.4,73814.5,75137.4,77623.3,78811.1,79215.2,80713.5,81657.1,82880.3,84333.4,85791.1,85835.1,77384.1,85551.6
"17000","Illinois",581768.5,584744.9,592992.9,597091.2,614640.8,620935.8,624946.6,633361.5,640067.7,645996.4,650221.3,656688.8,646466.4,650762.0,653913.0,643786.8,640937.6,641593.6,644485.6,653570.0,648232.1,658151.4,667939.5,672536.4,675827.4,685162.5,690440.7,700373.3,715925.7,722356.8,723445.2,721798.1,731542.4,728904.9,733605.9,745180.8,745509.0,762549.4,775046.6,781378.2,785673.4,793300.4,802008.7,800322.0,797723.3,802317.7,801982.3,813751.4,812937.2,818245.6,828030.4,835891.7,852114.6,860142.0,867094.9,872806.4,878173.3,880445.3,890357.8,893355.5,884447.0,807383.5,875671.3
"18000","Indiana",239848.0,242474.5,245776.9,247349.6,251418.2,254144.4,256734.7,259554.5,261862.2,268148.3,271494.8,274780.1,274357.6,274976.5,274235.2,268991.3,258982.7,257654.0,260397.4,268966.9,272842.2,279390.4,283956.9,285798.7,284971.3,287436.6,289775.3,293588.5,295577.3,298751.4,299753.0,297182.7,308118.7,304861.0,309147.1,312774.6,317638.5,324823.2,329148.1,328423.2,326529.0,330270.8,330323.0,330988.0,330953.7,335556.9,339032.8,343325.2,345953.4,347807.8,350926.3,357057.8,364135.4,367071.6,369451.8,373039.3,374442.5,377843.6,381578.6,384871.7,381901.9,344033.2,379292.5
"19000","Iowa",121176.9,121872.8,123453.1,122522.1,124824.6,126570.3,127078.8,129736.7,133745.6,137242.7,138290.9,139440.2,138656.4,138150.7,136900.5,134757.3,133904.8,135051.8,137355.8,140967.1,139267.0,141679.2,142829.9,144290.5,145126.7,146157.7,148555.6,152569.0,155571.5,158924.8,159219.1,157639.1,160957.0,159788.9,161966.4,163619.6,165468.0,172514.2,174881.1,175624.3,176985.1,178681.1,180903.1,181267.5,178853.4,178814.6,180973.6,181117.4,181999.9,181865.9,181180.3,183559.2,187742.5,190742.1,190722.5,191380.8,192286.0,193982.1,196116.7,196247.4,196502.8,179037.3,195352.8
"20000","Kansas",102678.0,103523.4,105108.9,104554.6,110551.4,112182.2,112793.0,115009.5,119288.6,121787.4,123141.6,125178.9,126910.1,129251.8,129180.9,125955.0,124203.0,123849.6,124364.4,126701.2,124041.5,126590.5,129498.9,131750.7,132274.3,135872.7,136757.6,137209.5,143950.6,142187.3,138299.5,138619.1,140999.9,142124.0,143084.5,146054.9,142856.6,147623.2,151724.3,153566.8,150375.3,153743.4,155454.2,156489.6,155850.8,158785.0,160367.0,161928.3,162828.9,163125.4,164018.5,165900.5,169045.5,172026.8,172640.4,173162.6,174451.9,175961.7,176953.6,178605.1,177917.3,161464.3,175465.2
"21000","Kentucky",138726.2,141442.4,144242.9,146420.5,149130.5,151305.5,152021.8,152285.3,151691.7,153941.1,154948.4,157588.6,157566.1,160095.1,158975.9,156199.7,154863.1,153692.8,155662.4,159935.5,159845.8,164147.3,167299.9,167988.3,166467.2,168782.4,170491.7,174277.6,174994.1,176715.3,177164.6,176418.5,182786.9,181302.3,182579.6,183213.8,183008.0,186271.1,187878.1,188518.8,189660.0,193151.9,193965.1,194500.3,192343.2,195345.1,197379.5,198292.9,198692.6,198680.6,200545.3,203463.5,204836.2,207404.8,208351.9,210804.8,212486.2,214284.4,216398.7,218426.1,216580.3,193877.8,213169.1
"22000","Louisiana",190817.8,196492.3,199606.8,204217.2,203926.7,206228.7,207040.3,206356.2,203391.6,206168.9,207203.9,209644.8,211019.5,217938.0,219776.9,212421.7,207377.9,203750.1,206098.9,211252.4,219915.4,225068.3,229875.0,229788.7,227088.7,228844.9,228580.6,232346.1,235371.9,236318.0,232215.6,230019.3,229872.6,226793.6,228209.2,229877.7,230791.8,237734.5,241482.5,240859.5,234423.2,233577.8,231800.1,227206.3,222037.9,222953.5,222768.8,225878.0,231264.6,233394.8,236808.2,241381.1,248984.6,253237.1,254370.6,256352.0,255724.2,255708.2,257162.2,259079.3,250976.2,224129.4,244576.7
