"SQGDP2 Gross domestic product (GDP) by state 1/"
"(millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3"
"00000","United States *","35","      Retail trade",824781.0,834424.0,846151.0,857952.0,867198.0,868315.0,872971.0,871274.0,869253.0,869709.0,867281.0,870631.0,844622.0,850603.0,855216.0,844259.0,825291.0,822933.0,820268.0,842011.0,838374.0,855717.0,853948.0,857987.0,861842.0,866309.0,873161.0,886413.0,901457.0,904033.0,910603.0,917559.0,943076.0,942697.0,953821.0,958209.0,951282.0,969020.0,982773.0,994978.0,1001349.0,1012393.0,1030876.0,1035698.0,1044770.0,1047934.0,1054782.0,1063887.0,1073607.0,1077350.0,1087075.0,1095913.0,1106823.0,1116361.0,1118397.0,1121438.0,1139452.0,1155958.0,1173215.0,1180336.0,1180708.0,1102127.0,1259238.0
"00000","United States *","36","      Transportation and warehousing",358230.0,368689.0,382488.0,393892.0,401548.0,409400.0,412459.0,418118.0,407801.0,415322.0,411536.0,420952.0,417075.0,422599.0,427754.0,439784.0,410607.0,398069.0,399047.0,410779.0,414488.0,429138.0,441780.0,446734.0,446247.0,450919.0,449371.0,459230.0,465519.0,474512.0,474226.0,473605.0,483360.0,484292.0,491640.0,505104.0,498460.0,515728.0,531708.0,541461.0,553220.0,561511.0,573024.0,575595.0,575210.0,581839.0,580359.0,590541.0,596166.0,604007.0,609546.0,618335.0,634355.0,644226.0,653085.0,671255.0,682287.0,690695.0,703618.0,710028.0,685970.0,520194.0,578543.0
"00000","United States *","45","      Information",641864.0,649641.0,638820.0,639026.0,633846.0,652103.0,664737.0,657289.0,673683.0,695332.0,720497.0,738233.0,733721.0,754314.0,756881.0,726926.0,719190.0,714214.0,715313.0,738967.0,734240.0,744060.0,766910.0,767906.0,758083.0,765459.0,755751.0,759979.0,755363.0,768223.0,760119.0,752103.0,812091.0,820833.0,830183.0,852604.0,833582.0,840685.0,845413.0,849998.0,877708.0,897176.0,917473.0,935396.0,957295.0,961219.0,974390.0,980686.0,988747.0,996566.0,1010778.0,1025566.0,1029171.0,1062113.0,1072100.0,1075801.0,1094716.0,1122300.0,1136959.0,1156130.0,1156838.0,1115660.0,1175170.0
"00000","United States *","51","      Finance and insurance",937846.0,960457.0,988674.0,1007844.0,1031491.0,1025183.0,1029672.0,1050419.0,1073919.0,1044919.0,1027444.0,975913.0,994192.0,929760.0,855321.0,713718.0,888012.0,975395.0,995677.0,1007332.0,1015196.0,1012539.0,984632.0,1002086.0,1013810.0,1003147.0,1034497.0,1052712.0,1126079.0,1153803.0,1184536.0,1186798.0,1109318.0,1126688.0,1143889.0,1199844.0,1228641.0,1284248.0,1298212.0,1319431.0,1352195.0,1394750.0,1351755.0,1353671.0,1371038.0,1435033.0,1494252.0,1531562.0,1500945.0,1478658.0,1520715.0,1552780.0,1596953.0,1638552.0,1672900.0,1626114.0,1649818.0,1663664.0,1656491.0,1693216.0,1663875.0,1699829.0,1748309.0
"00000","United States *","56","      Real estate and rental and leasing",1605119.0,1627136.0,1646975.0,1650629.0,1662555.0,1687356.0,1721490.0,1767537.0,1781593.0,1791892.0,1827517.0,1869906.0,1873727.0,1886396.0,1890529.0,1907338.0,1912292.0,1897405.0,1900405.0,1894149.0,1908214.0,1935319.0,1942535.0,1971362.0,1962850.0,2009610.0,2028577.0,2076114.0,2069445.0,2092530.0,2115483.0,2115178.0,2146687.0,2150767.0,2196123.0,2217842.0,2211820.0,2247953.0,2289316.0,2312563.0,2342160.0,2370585.0,2404975.0,2426057.0,2452722.0,2481821.0,2495115.0,2522382.0,2559928.0,2591208.0,2614390.0,2648693.0,2690259.0,2722941.0,2754587.0,2785358.0,2820587.0,2859638.0,2901410.0,2922306.0,2943591.0,2864839.0,2953837.0
"00000","United States *","60","      Professional, scientific, and technical services",835695.0,843603.0,857769.0,872540.0,901767.0,909821.0,918849.0,937852.0,950483.0,963665.0,996645.0,1028924.0,1052733.0,1079090.0,1098558.0,1098159.0,1055041.0,1027896.0,1022125.0,1020066.0,1035285.0,1051810.0,1075955.0,1092489.0,1101321.0,1122638.0,1131962.0,1142311.0,1169810.0,1189119.0,1191372.0,1203826.0,1201753.0,1197454.0,1208614.0,1226277.0,1230117.0,1247577.0,1289336.0,1303532.0,1324701.0,1342227.0,1360520.0,1366933.0,1383294.0,1388561.0,1392479.0,1412094.0,1427767.0,1446282.0,1466101.0,1486829.0,1517246.0,1547205.0,1559048.0,1572109.0,1608927.0,1624854.0,1651944.0,1668000.0,1670546.0,1547429.0,1625902.0
"00000","United States *","64","      Management of companies and enterprises",209400.0,211391.0,216883.0,218775.0,226202.0,229720.0,229764.0,236224.0,248429.0,249097.0,251933.0,255168.0,252507.0,255364.0,258857.0,258935.0,236930.0,243272.0,248928.0,250996.0,257677.0,261624.0,266821.0,275431.0,278133.0,278511.0,276484.0,278724.0,291916.0,293534.0,302788.0,320547.0,313930.0,319612.0,321070.0,324190.0,333284.0,327749.0,330964.0,339485.0,346841.0,348279.0,347752.0,348971.0,347837.0,349376.0,351216.0,355222.0,361454.0,367311.0,373849.0,387635.0,385925.0,387198.0,397881.0,398193.0,408914.0,412181.0,410763.0,413595.0,412241.0,397589.0,402909.0
"00000","United States *","65","      Administrative and support and waste management and remediation services",369891.0,378262.0,383146.0,388269.0,395494.0,395896.0,398177.0,406783.0,415277.0,425484.0,436647.0,445090.0,439205.0,439110.0,439118.0,436776.0,417716.0,409493.0,407617.0,414801.0,425657.0,434722.0,442038.0,447835.0,448450.0,452529.0,456512.0,459060.0,471395.0,471718.0,474931.0,477680.0,479883.0,484631.0,492888.0,498856.0,502956.0,515241.0,523332.0,530201.0,533526.0,536870.0,543533.0,547576.0,550487.0,554049.0,559429.0,573025.0,586273.0,597165.0,607310.0,616195.0,620522.0,627770.0,633505.0,644509.0,650456.0,656082.0,664918.0,672287.0,668882.0,579910.0,645257.0
"00000","United States *","69","      Educational services",131124.0,132358.0,134198.0,135236.0,140248.0,142357.0,143685.0,145402.0,147650.0,149277.0,152565.0,156623.0,160070.0,164492.0,170653.0,175920.0,185241.0,187269.0,189184.0,191630.0,194984.0,198104.0,200501.0,201895.0,204030.0,205543.0,206819.0,207800.0,212497.0,214338.0,214523.0,214173.0,214715.0,215911.0,217773.0,221449.0,221957.0,225432.0,228069.0,228889.0,230284.0,231457.0,233856.0,238156.0,242735.0,246048.0,246345.0,249425.0,248303.0,247070.0,248461.0,249981.0,254476.0,257112.0,259260.0,262878.0,264566.0,267897.0,271632.0,275336.0,275205.0,244551.0,256193.0
"00000","United States *","70","      Health care and social assistance",822064.0,830318.0,843332.0,853338.0,877188.0,889786.0,895361.0,907769.0,914730.0,925926.0,942999.0,961955.0,986336.0,1005146.0,1025430.0,1051211.0,1062665.0,1075709.0,1082364.0,1095910.0,1091469.0,1106602.0,1120609.0,1128465.0,1131319.0,1145187.0,1154428.0,1163726.0,1184215.0,1186825.0,1194116.0,1208773.0,1222251.0,1224894.0,1231735.0,1240041.0,1241524.0,1254074.0,1276683.0,1291071.0,1311717.0,1328412.0,1348952.0,1361179.0,1383031.0,1401366.0,1408473.0,1430524.0,1441739.0,1452048.0,1463339.0,1477888.0,1501675.0,1516668.0,1527300.0,1548365.0,1569749.0,1585630.0,1603759.0,1623106.0,1605794.0,1374922.0,1594717.0
